toros_field_id ra dec l b program exposure_time cadence ephemeris period observations moon_phase
09.030 303.158 -78.616 315.342 -30.528 main_survey 300.000 1 0 0 0 0
09.031 309.474 -78.616 314.905 -31.716 main_survey 300.000 1 0 0 0 0
09.032 315.789 -78.616 314.306 -32.855 main_survey 300.000 1 0 0 0 0
09.033 322.105 -78.616 313.548 -33.928 main_survey 300.000 1 0 0 0 0
09.034 328.421 -78.616 312.635 -34.921 main_survey 300.000 1 0 0 0 0
09.035 334.737 -78.616 311.575 -35.818 main_survey 300.000 1 0 0 0 0
09.036 341.053 -78.616 310.378 -36.605 main_survey 300.000 1 0 0 0 0
09.037 347.368 -78.616 309.060 -37.270 main_survey 300.000 1 0 0 0 0
09.038 353.684 -78.616 307.638 -37.802 main_survey 300.000 1 0 0 0 0
0a.000 2.857 -77.351 305.759 -39.556 main_survey 300.000 1 0 0 0 0
0a.001 8.571 -77.351 304.152 -39.736 main_survey 300.000 1 0 0 0 0
0a.002 14.286 -77.351 302.526 -39.772 main_survey 300.000 1 0 0 0 0
0a.003 20.000 -77.351 300.906 -39.664 main_survey 300.000 1 0 0 0 0
0a.004 25.714 -77.351 299.317 -39.414 main_survey 300.000 1 0 0 0 0
0a.005 31.429 -77.351 297.782 -39.025 main_survey 300.000 1 0 0 0 0
0a.006 37.143 -77.351 296.324 -38.503 main_survey 300.000 1 0 0 0 0
0a.007 42.857 -77.351 294.962 -37.857 main_survey 300.000 1 0 0 0 0
0a.008 48.571 -77.351 293.711 -37.096 main_survey 300.000 1 0 0 0 0
0a.009 54.286 -77.351 292.585 -36.231 main_survey 300.000 1 0 0 0 0
0a.00a 60.000 -77.351 291.593 -35.273 main_survey 300.000 1 0 0 0 0
0a.00b 65.714 -77.351 290.744 -34.235 main_survey 300.000 1 0 0 0 0
0a.00c 71.429 -77.351 290.040 -33.130 main_survey 300.000 1 0 0 0 0
0a.00d 77.143 -77.351 289.484 -31.970 main_survey 300.000 1 0 0 0 0
0a.00e 82.857 -77.351 289.077 -30.769 main_survey 300.000 1 0 0 0 0
0a.00f 88.571 -77.351 288.815 -29.539 main_survey 300.000 1 0 0 0 0
0a.010 94.286 -77.351 288.697 -28.292 main_survey 300.000 1 0 0 0 0
0a.011 100.000 -77.351 288.718 -27.042 main_survey 300.000 1 0 0 0 0
0a.012 105.714 -77.351 288.873 -25.799 main_survey 300.000 1 0 0 0 0
0a.013 111.429 -77.351 289.158 -24.575 main_survey 300.000 1 0 0 0 0
0a.014 117.143 -77.351 289.565 -23.381 main_survey 300.000 1 0 0 0 0
0a.015 122.857 -77.351 290.089 -22.227 main_survey 300.000 1 0 0 0 0
0a.016 128.571 -77.351 290.722 -21.123 main_survey 300.000 1 0 0 0 0
0a.017 134.286 -77.351 291.457 -20.078 main_survey 300.000 1 0 0 0 0
0a.018 140.000 -77.351 292.287 -19.102 main_survey 300.000 1 0 0 0 0
0a.019 145.714 -77.351 293.203 -18.202 main_survey 300.000 1 0 0 0 0
0a.01a 151.429 -77.351 294.199 -17.386 main_survey 300.000 1 0 0 0 0
0a.01b 157.143 -77.351 295.264 -16.660 main_survey 300.000 1 0 0 0 0
0a.01c 162.857 -77.351 296.390 -16.030 main_survey 300.000 1 0 0 0 0
0a.01d 168.571 -77.351 297.569 -15.503 main_survey 300.000 1 0 0 0 0
0a.01e 174.286 -77.351 298.789 -15.081 main_survey 300.000 1 0 0 0 0
0a.01f 180.000 -77.351 300.043 -14.769 main_survey 300.000 1 0 0 0 1
0a.020 185.714 -77.351 301.319 -14.569 main_survey 300.000 1 0 0 0 1
0a.021 191.429 -77.351 302.608 -14.483 main_survey 300.000 1 0 0 0 1
0a.022 197.143 -77.351 303.900 -14.512 main_survey 300.000 1 0 0 0 1
0a.023 202.857 -77.351 305.184 -14.655 main_survey 300.000 1 0 0 0 1
0a.024 208.571 -77.351 306.450 -14.911 main_survey 300.000 1 0 0 0 1
0a.025 214.286 -77.351 307.688 -15.278 main_survey 300.000 1 0 0 0 0
0a.026 220.000 -77.351 308.889 -15.753 main_survey 300.000 1 0 0 0 0
0a.027 225.714 -77.351 310.043 -16.332 main_survey 300.000 1 0 0 0 0
0a.028 231.429 -77.351 311.140 -17.011 main_survey 300.000 1 0 0 0 0
0a.029 237.143 -77.351 312.171 -17.782 main_survey 300.000 1 0 0 0 0
0a.02a 242.857 -77.351 313.128 -18.641 main_survey 300.000 1 0 0 0 0
0a.02b 248.571 -77.351 314.003 -19.580 main_survey 300.000 1 0 0 0 0
